episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
physeval_base_D_20260708_172509,0,9.716667,1783527912.274966,-1.500272,1.500271,0.0,-0.78501,0.2,0.0035,-0.000182,0.004332,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.75,0.6604,0.0035,0.1651,0.0001,0.3998,,,gnm_closed_loop,0.2,0.0035,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.5035,True,0.6604,0.0035,0.2,0.0035,True,armed,False,
physeval_base_D_20260708_172509,1,9.733334,1783527912.277697,-1.499277,1.499281,1e-06,-0.784762,0.2,0.0035,-0.000182,0.004332,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.75,0.6604,0.0035,0.1651,0.0001,0.3998,,,gnm_closed_loop,0.2,0.0035,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.5021,True,0.6604,0.0035,0.2,0.0035,True,armed,False,
physeval_base_D_20260708_172509,2,9.750001,1783527912.279753,-1.497437,1.497446,1e-06,-0.784763,0.2,0.0035,-0.000182,0.004332,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.75,0.6604,0.0035,0.1651,0.0001,0.3998,,,gnm_closed_loop,0.2,0.0035,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4995,True,0.6604,0.0035,0.2,0.0035,True,armed,False,
physeval_base_D_20260708_172509,3,9.766667,1783527912.304626,-1.495153,1.495165,0.0,-0.784763,0.2,0.0039,0.198055,-0.000267,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,11.7,0.6666,0.0039,0.1667,0.0002,0.4007,,,gnm_closed_loop,0.2,0.0039,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4963,True,0.6666,0.0039,0.2,0.0039,True,armed,False,
physeval_base_D_20260708_172509,4,9.783334,1783527912.30739,-1.49281,1.492824,0.0,-0.784763,0.2,0.0039,0.198055,-0.000267,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,11.7,0.6666,0.0039,0.1667,0.0002,0.4007,,,gnm_closed_loop,0.2,0.0039,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.493,True,0.6666,0.0039,0.2,0.0039,True,armed,False,
physeval_base_D_20260708_172509,5,9.800001,1783527912.309534,-1.49046,1.490476,0.0,-0.784763,0.2,0.0039,0.198055,-0.000267,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,11.7,0.6666,0.0039,0.1667,0.0002,0.4007,,,gnm_closed_loop,0.2,0.0039,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4897,True,0.6666,0.0039,0.2,0.0039,True,armed,False,
physeval_base_D_20260708_172509,6,9.816667,1783527912.330662,-1.488107,1.488126,0.0,-0.784762,0.2,0.0045,0.19983,-0.000534,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.21,0.669,0.0045,0.1673,0.0002,0.4067,,,gnm_closed_loop,0.2,0.0045,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4864,True,0.669,0.0045,0.2,0.0045,True,armed,False,
physeval_base_D_20260708_172509,7,9.833334,1783527912.333055,-1.485755,1.485777,0.0,-0.784761,0.2,0.0045,0.19983,-0.000534,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.21,0.669,0.0045,0.1673,0.0002,0.4067,,,gnm_closed_loop,0.2,0.0045,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.483,True,0.669,0.0045,0.2,0.0045,True,armed,False,
physeval_base_D_20260708_172509,8,9.850001,1783527912.335901,-1.483403,1.483427,0.0,-0.784761,0.2,0.0045,0.19983,-0.000534,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.21,0.669,0.0045,0.1673,0.0002,0.4067,,,gnm_closed_loop,0.2,0.0045,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4797,True,0.669,0.0045,0.2,0.0045,True,armed,False,
physeval_base_D_20260708_172509,9,9.866667,1783527912.352685,-1.48105,1.481077,0.0,-0.784761,0.2,0.0025,0.199827,-0.001042,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.21,0.6894,0.0025,0.1723,0.0001,0.4029,,,gnm_closed_loop,0.2,0.0025,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4764,True,0.6894,0.0025,0.2,0.0025,True,armed,False,
physeval_base_D_20260708_172509,10,9.883334,1783527912.355393,-1.478698,1.478728,0.0,-0.78476,0.2,0.0025,0.199827,-0.001042,camera_link,9.883334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.21,0.6894,0.0025,0.1723,0.0001,0.4029,,,gnm_closed_loop,0.2,0.0025,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4731,True,0.6894,0.0025,0.2,0.0025,True,armed,False,
physeval_base_D_20260708_172509,11,9.900001,1783527912.358585,-1.476346,1.476378,0.0,-0.78476,0.2,0.0025,0.199827,-0.001042,camera_link,9.900001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.21,0.6894,0.0025,0.1723,0.0001,0.4029,,,gnm_closed_loop,0.2,0.0025,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4697,True,0.6894,0.0025,0.2,0.0025,True,armed,False,
physeval_base_D_20260708_172509,12,9.916667,1783527912.377309,-1.473993,1.474028,0.0,-0.784759,0.2,-0.0001,0.199834,-0.000136,camera_link,9.916667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.79,0.6395,-0.0001,0.1599,-0.0,0.3848,,,gnm_closed_loop,0.2,-0.0001,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4664,True,0.6395,-0.0001,0.2,-0.0001,True,armed,False,
physeval_base_D_20260708_172509,13,9.933334,1783527912.379499,-1.471641,1.471678,0.0,-0.78476,0.2,-0.0001,0.199834,-0.000136,camera_link,9.933334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.79,0.6395,-0.0001,0.1599,-0.0,0.3848,,,gnm_closed_loop,0.2,-0.0001,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4631,True,0.6395,-0.0001,0.2,-0.0001,True,armed,False,
physeval_base_D_20260708_172509,14,9.950001,1783527912.381364,-1.469289,1.469329,0.0,-0.784759,0.2,-0.0001,0.199834,-0.000136,camera_link,9.950001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.79,0.6395,-0.0001,0.1599,-0.0,0.3848,,,gnm_closed_loop,0.2,-0.0001,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4598,True,0.6395,-0.0001,0.2,-0.0001,True,armed,False,
physeval_base_D_20260708_172509,15,9.966667,1783527912.397527,-1.466937,1.466979,0.0,-0.784759,0.2,-0.0014,0.199815,-0.000224,camera_link,9.966667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.81,0.6409,-0.0014,0.1602,-0.0001,0.3768,,,gnm_closed_loop,0.2,-0.0014,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4564,True,0.6409,-0.0014,0.2,-0.0014,True,armed,False,
physeval_base_D_20260708_172509,16,9.983334,1783527912.399786,-1.464584,1.46463,0.0,-0.784759,0.2,-0.0014,0.199815,-0.000224,camera_link,9.983334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.81,0.6409,-0.0014,0.1602,-0.0001,0.3768,,,gnm_closed_loop,0.2,-0.0014,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4531,True,0.6409,-0.0014,0.2,-0.0014,True,armed,False,
physeval_base_D_20260708_172509,17,10.000001,1783527912.401671,-1.462232,1.462281,0.0,-0.784759,0.2,-0.0014,0.199815,-0.000224,camera_link,10.000001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.81,0.6409,-0.0014,0.1602,-0.0001,0.3768,,,gnm_closed_loop,0.2,-0.0014,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4498,True,0.6409,-0.0014,0.2,-0.0014,True,armed,False,
physeval_base_D_20260708_172509,18,10.016667,1783527912.418873,-1.45988,1.459931,0.0,-0.784759,0.2,-0.0052,0.199825,0.000245,camera_link,10.016667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.0,0.6128,-0.0052,0.1532,-0.0002,0.3769,,,gnm_closed_loop,0.2,-0.0052,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4465,True,0.6128,-0.0052,0.2,-0.0052,True,armed,False,
physeval_base_D_20260708_172509,19,10.033334,1783527912.421279,-1.457528,1.457582,0.0,-0.784759,0.2,-0.0052,0.199825,0.000245,camera_link,10.033334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.0,0.6128,-0.0052,0.1532,-0.0002,0.3769,,,gnm_closed_loop,0.2,-0.0052,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4431,True,0.6128,-0.0052,0.2,-0.0052,True,armed,False,
physeval_base_D_20260708_172509,20,10.050001,1783527912.42326,-1.455176,1.455233,0.0,-0.784759,0.2,-0.0052,0.199825,0.000245,camera_link,10.050001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.0,0.6128,-0.0052,0.1532,-0.0002,0.3769,,,gnm_closed_loop,0.2,-0.0052,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4398,True,0.6128,-0.0052,0.2,-0.0052,True,armed,False,
physeval_base_D_20260708_172509,21,10.066667,1783527912.438334,-1.452824,1.452883,0.0,-0.784759,0.2,-0.0065,0.199841,0.000115,camera_link,10.066667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.64,0.6152,-0.0065,0.1538,-0.0003,0.3765,,,gnm_closed_loop,0.2,-0.0065,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4365,True,0.6152,-0.0065,0.2,-0.0065,True,armed,False,
physeval_base_D_20260708_172509,22,10.083334,1783527912.440987,-1.450471,1.450534,0.0,-0.784759,0.2,-0.0065,0.199841,0.000115,camera_link,10.083334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.64,0.6152,-0.0065,0.1538,-0.0003,0.3765,,,gnm_closed_loop,0.2,-0.0065,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4332,True,0.6152,-0.0065,0.2,-0.0065,True,armed,False,
physeval_base_D_20260708_172509,23,10.100001,1783527912.443834,-1.448119,1.448184,0.0,-0.78476,0.2,-0.0065,0.199841,0.000115,camera_link,10.100001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.64,0.6152,-0.0065,0.1538,-0.0003,0.3765,,,gnm_closed_loop,0.2,-0.0065,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4298,True,0.6152,-0.0065,0.2,-0.0065,True,armed,False,
physeval_base_D_20260708_172509,24,10.116667,1783527912.46154,-1.445767,1.445835,0.0,-0.78476,0.2,-0.0083,0.199825,-0.00028,camera_link,10.116667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.55,0.5973,-0.0083,0.1493,-0.0003,0.3668,,,gnm_closed_loop,0.2,-0.0083,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4265,True,0.5973,-0.0083,0.2,-0.0083,True,armed,False,
physeval_base_D_20260708_172509,25,10.133334,1783527912.464096,-1.443415,1.443486,0.0,-0.78476,0.2,-0.0083,0.199825,-0.00028,camera_link,10.133334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.55,0.5973,-0.0083,0.1493,-0.0003,0.3668,,,gnm_closed_loop,0.2,-0.0083,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4232,True,0.5973,-0.0083,0.2,-0.0083,True,armed,False,
physeval_base_D_20260708_172509,26,10.150001,1783527912.466131,-1.441063,1.441136,0.0,-0.78476,0.2,-0.0083,0.199825,-0.00028,camera_link,10.150001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.55,0.5973,-0.0083,0.1493,-0.0003,0.3668,,,gnm_closed_loop,0.2,-0.0083,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4199,True,0.5973,-0.0083,0.2,-0.0083,True,armed,False,
physeval_base_D_20260708_172509,27,10.166667,1783527912.48318,-1.438711,1.438787,0.0,-0.78476,0.2,-0.0086,0.199847,0.000347,camera_link,10.166667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.02,0.5925,-0.0086,0.1481,-0.0003,0.3604,,,gnm_closed_loop,0.2,-0.0086,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4165,True,0.5925,-0.0086,0.2,-0.0086,True,armed,False,
physeval_base_D_20260708_172509,28,10.183334,1783527912.485483,-1.436358,1.436437,0.0,-0.78476,0.2,-0.0086,0.199847,0.000347,camera_link,10.183334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.02,0.5925,-0.0086,0.1481,-0.0003,0.3604,,,gnm_closed_loop,0.2,-0.0086,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4132,True,0.5925,-0.0086,0.2,-0.0086,True,armed,False,
physeval_base_D_20260708_172509,29,10.200001,1783527912.48851,-1.434005,1.434087,0.0,-0.784761,0.2,-0.0086,0.199847,0.000347,camera_link,10.200001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.02,0.5925,-0.0086,0.1481,-0.0003,0.3604,,,gnm_closed_loop,0.2,-0.0086,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4099,True,0.5925,-0.0086,0.2,-0.0086,True,armed,False,
physeval_base_D_20260708_172509,30,10.216667,1783527912.506582,-1.431652,1.431738,0.0,-0.784761,0.2,-0.0072,0.199836,-4.7e-05,camera_link,10.216667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.46,0.6003,-0.0072,0.1501,-0.0003,0.3451,,,gnm_closed_loop,0.2,-0.0072,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4066,True,0.6003,-0.0072,0.2,-0.0072,True,armed,False,
physeval_base_D_20260708_172509,31,10.233334,1783527912.50888,-1.4293,1.429388,0.0,-0.784761,0.2,-0.0072,0.199836,-4.7e-05,camera_link,10.233334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.46,0.6003,-0.0072,0.1501,-0.0003,0.3451,,,gnm_closed_loop,0.2,-0.0072,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.4032,True,0.6003,-0.0072,0.2,-0.0072,True,armed,False,
physeval_base_D_20260708_172509,32,10.250001,1783527912.510735,-1.426948,1.427039,0.0,-0.784761,0.2,-0.0072,0.199836,-4.7e-05,camera_link,10.250001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.46,0.6003,-0.0072,0.1501,-0.0003,0.3451,,,gnm_closed_loop,0.2,-0.0072,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3999,True,0.6003,-0.0072,0.2,-0.0072,True,armed,False,
physeval_base_D_20260708_172509,33,10.266667,1783527912.527869,-1.424595,1.424689,0.0,-0.784762,0.2,-0.0136,0.199831,0.00077,camera_link,10.266667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.81,0.5703,-0.0136,0.1426,-0.0005,0.3405,,,gnm_closed_loop,0.2,-0.0136,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3966,True,0.5703,-0.0136,0.2,-0.0136,True,armed,False,
physeval_base_D_20260708_172509,34,10.283334,1783527912.53023,-1.422243,1.42234,0.0,-0.784762,0.2,-0.0136,0.199831,0.00077,camera_link,10.283334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.81,0.5703,-0.0136,0.1426,-0.0005,0.3405,,,gnm_closed_loop,0.2,-0.0136,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3933,True,0.5703,-0.0136,0.2,-0.0136,True,armed,False,
physeval_base_D_20260708_172509,35,10.300001,1783527912.532353,-1.419891,1.419991,0.0,-0.784762,0.2,-0.0136,0.199831,0.00077,camera_link,10.300001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.81,0.5703,-0.0136,0.1426,-0.0005,0.3405,,,gnm_closed_loop,0.2,-0.0136,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3899,True,0.5703,-0.0136,0.2,-0.0136,True,armed,False,
physeval_base_D_20260708_172509,36,10.316667,1783527912.548938,-1.417539,1.417641,0.0,-0.784763,0.2,-0.0197,0.199834,0.001148,camera_link,10.316667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,6.01,0.5549,-0.0197,0.1387,-0.0007,0.3358,,,gnm_closed_loop,0.2,-0.0197,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3866,True,0.5549,-0.0197,0.2,-0.0197,True,armed,False,
physeval_base_D_20260708_172509,37,10.333334,1783527912.551707,-1.415187,1.415292,0.0,-0.784763,0.2,-0.0197,0.199834,0.001148,camera_link,10.333334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,6.01,0.5549,-0.0197,0.1387,-0.0007,0.3358,,,gnm_closed_loop,0.2,-0.0197,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3833,True,0.5549,-0.0197,0.2,-0.0197,True,armed,False,
physeval_base_D_20260708_172509,38,10.350001,1783527912.555217,-1.412835,1.412943,0.0,-0.784763,0.2,-0.0197,0.199834,0.001148,camera_link,10.350001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,6.01,0.5549,-0.0197,0.1387,-0.0007,0.3358,,,gnm_closed_loop,0.2,-0.0197,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.38,True,0.5549,-0.0197,0.2,-0.0197,True,armed,False,
physeval_base_D_20260708_172509,39,10.366667,1783527912.572747,-1.410483,1.410594,0.0,-0.784764,0.2,-0.012,0.199803,0.000944,camera_link,10.366667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.72,0.6075,-0.012,0.1519,-0.0005,0.3488,,,gnm_closed_loop,0.2,-0.012,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3766,True,0.6075,-0.012,0.2,-0.012,True,armed,False,
physeval_base_D_20260708_172509,40,10.383334,1783527912.575345,-1.408131,1.408244,0.0,-0.784765,0.2,-0.012,0.199803,0.000944,camera_link,10.383334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.72,0.6075,-0.012,0.1519,-0.0005,0.3488,,,gnm_closed_loop,0.2,-0.012,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3733,True,0.6075,-0.012,0.2,-0.012,True,armed,False,
physeval_base_D_20260708_172509,41,10.400001,1783527912.577283,-1.405778,1.405895,0.0,-0.784765,0.2,-0.012,0.199803,0.000944,camera_link,10.400001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.72,0.6075,-0.012,0.1519,-0.0005,0.3488,,,gnm_closed_loop,0.2,-0.012,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.37,True,0.6075,-0.012,0.2,-0.012,True,armed,False,
physeval_base_D_20260708_172509,42,10.416667,1783527912.592505,-1.403426,1.403546,0.0,-0.784766,0.2,-0.0078,0.199831,0.0,camera_link,10.416667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.84,0.6526,-0.0078,0.1632,-0.0003,0.374,,,gnm_closed_loop,0.2,-0.0078,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3667,True,0.6526,-0.0078,0.2,-0.0078,True,armed,False,
physeval_base_D_20260708_172509,43,10.433334,1783527912.595433,-1.401073,1.401196,0.0,-0.784766,0.2,-0.0078,0.199831,0.0,camera_link,10.433334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.84,0.6526,-0.0078,0.1632,-0.0003,0.374,,,gnm_closed_loop,0.2,-0.0078,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3633,True,0.6526,-0.0078,0.2,-0.0078,True,armed,False,
physeval_base_D_20260708_172509,44,10.450001,1783527912.597554,-1.398721,1.398847,0.0,-0.784766,0.2,-0.0078,0.199831,0.0,camera_link,10.450001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.84,0.6526,-0.0078,0.1632,-0.0003,0.374,,,gnm_closed_loop,0.2,-0.0078,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.36,True,0.6526,-0.0078,0.2,-0.0078,True,armed,False,
physeval_base_D_20260708_172509,45,10.466667,1783527912.613712,-1.396369,1.396497,0.0,-0.784766,0.2,-0.0017,0.199828,-0.000411,camera_link,10.466667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.86,0.6703,-0.0017,0.1676,-0.0001,0.3972,,,gnm_closed_loop,0.2,-0.0017,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3567,True,0.6703,-0.0017,0.2,-0.0017,True,armed,False,
physeval_base_D_20260708_172509,46,10.483334,1783527912.616467,-1.394017,1.394147,0.0,-0.784766,0.2,-0.0017,0.199828,-0.000411,camera_link,10.483334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.86,0.6703,-0.0017,0.1676,-0.0001,0.3972,,,gnm_closed_loop,0.2,-0.0017,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3534,True,0.6703,-0.0017,0.2,-0.0017,True,armed,False,
physeval_base_D_20260708_172509,47,10.500001,1783527912.619227,-1.391664,1.391798,0.0,-0.784766,0.2,-0.0017,0.199828,-0.000411,camera_link,10.500001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.86,0.6703,-0.0017,0.1676,-0.0001,0.3972,,,gnm_closed_loop,0.2,-0.0017,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.35,True,0.6703,-0.0017,0.2,-0.0017,True,armed,False,
physeval_base_D_20260708_172509,48,10.516667,1783527912.635462,-1.389312,1.389448,0.0,-0.784767,0.2,-0.0007,0.199829,0.001091,camera_link,10.516667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.5,0.6463,-0.0007,0.1616,-0.0,0.3982,,,gnm_closed_loop,0.2,-0.0007,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3467,True,0.6463,-0.0007,0.2,-0.0007,True,armed,False,
physeval_base_D_20260708_172509,49,10.533334,1783527912.637869,-1.38696,1.387099,0.0,-0.784767,0.2,-0.0007,0.199829,0.001091,camera_link,10.533334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.5,0.6463,-0.0007,0.1616,-0.0,0.3982,,,gnm_closed_loop,0.2,-0.0007,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3434,True,0.6463,-0.0007,0.2,-0.0007,True,armed,False,
physeval_base_D_20260708_172509,50,10.550001,1783527912.639713,-1.384607,1.384749,0.0,-0.784766,0.2,-0.0007,0.199829,0.001091,camera_link,10.550001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.5,0.6463,-0.0007,0.1616,-0.0,0.3982,,,gnm_closed_loop,0.2,-0.0007,False,0,,isaac_physics_smoke_20260708,,mnv2_baseline,,,,,,,False,hospital_holdout_short_D,2.3401,True,0.6463,-0.0007,0.2,-0.0007,True,armed,False,
