episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h2_td_I_r_20260709_193556,0,9.716667,1783622853.353197,2.272096,2.489673,0.041084,-3.117782,0.2,-0.0959,-0.000164,0.00038,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.42,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2721,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,1,9.733334,1783622853.355882,2.270646,2.489621,0.041094,-3.117633,0.2,-0.0959,-0.000164,0.00038,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.42,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,2,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2707,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,2,9.750001,1783622853.357864,2.268072,2.489557,0.041128,-3.117643,0.2,-0.0959,-0.000164,0.00038,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.42,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,4,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2681,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,3,9.766667,1783622856.423526,2.264926,2.489481,0.041114,-3.117651,0.2,-0.0959,0.195445,0.007579,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.07,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,6,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2649,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,4,9.783334,1783622856.425953,2.261625,2.489402,0.041095,-3.117657,0.2,-0.0959,0.195445,0.007579,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.07,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,8,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2616,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,5,9.800001,1783622856.427975,2.258307,2.489323,0.041087,-3.11767,0.2,-0.0959,0.195445,0.007579,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.07,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,10,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2583,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,6,9.816667,1783622856.443028,2.255007,2.489245,0.041108,-3.117672,0.2,-0.0959,0.199327,0.005493,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.08,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,12,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.255,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,7,9.833334,1783622856.445255,2.251708,2.489166,0.041139,-3.117679,0.2,-0.0959,0.199327,0.005493,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.08,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,14,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2517,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,8,9.850001,1783622856.447155,2.248402,2.489087,0.041134,-3.117683,0.2,-0.0959,0.199327,0.005493,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.08,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,16,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2484,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,9,9.866667,1783622862.566676,2.245091,2.489007,0.041118,-3.117686,0.2,-0.0959,0.199181,0.005822,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.18,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,18,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2451,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_r_20260709_193556,10,9.883334,1783622862.569111,2.241772,2.488929,0.041114,-3.117688,0.2,-0.0959,0.199181,0.005822,camera_link,9.883334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.18,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,20,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2418,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
